cell,system,ran,valid,flipped,rate,errors,skipped,first_round_elig
cell1_4.1m_4.1v_filt,aegis,285,151,123,81.5,0,5,0
cell1_4.1m_4.1v_filt,v5,241,231,95,41.1,0,3,3
cell1_4.1m_4.1v_filt,v5_cot,458,439,249,56.7,0,55,55
cell1_4.1m_4.1v_filt,v5_blockers,454,380,168,44.2,0,4,4
cell1_4.1m_4.1v_filt,tg,324,300,160,53.3,0,156,156
cell1_4.1m_4.1v_filt,shah,248,207,35,16.9,0,0,0
cell2_4.1m_v3v_filt,aegis,285,179,145,81.0,0,5,0
cell2_4.1m_v3v_filt,v5,242,212,86,40.6,0,2,2
cell2_4.1m_v3v_filt,v5_cot,462,406,263,64.8,0,51,51
cell2_4.1m_v3v_filt,v5_blockers,453,370,177,47.8,0,5,5
cell2_4.1m_v3v_filt,tg,332,263,156,59.3,0,148,148
cell2_4.1m_v3v_filt,shah,248,188,38,20.2,0,0,0
cell3_5m_v3v_filt,aegis,285,199,166,83.4,0,5,0
cell3_5m_v3v_filt,v5,240,239,116,48.5,0,4,4
cell3_5m_v3v_filt,v5_cot,462,449,289,64.4,0,51,51
cell3_5m_v3v_filt,v5_blockers,452,428,246,57.5,0,6,6
cell3_5m_v3v_filt,tg,321,305,181,59.3,0,159,159
cell3_5m_v3v_filt,shah,248,214,55,25.7,0,0,0
